15.36,29.10,Thank you.,blank,WER_sentence,CER_sentence
30.36,36.78,Thank you.,blank,2.0,1.4
46.5,59.01,"Yes, I have got an idea about the topic and what has to be spoken. Definitely, I believe individuals at...","uh Yes, I have got uh idea about uh the topic and what has to be spoken uh definitely i believe ahh individuals at Ahh",0.36,0.1694915254237288
59.82,74.37,the same age have generally similar plans any individuals first priority is definitely the individual's family so is mine and achieving financial stability as a,Of the same age have uh generally similar plans uh and me uh individual's first priority is definitely individual family so is mine and ahh achieving financial stability as a.,0.36666666666666664,0.16
75.18,89.67,to make the education to make the degrees fruitful is one thing and having a kind of lifestyle for which I have been working since working,The uh To make the education? to make the decrease fruitful is one thing and having a kind of Lifestyle uh umm for which I have been uh working since uh working.,0.28125,0.15527950310559005
89.7,103.68,today so I think it is one such goal to be financially stable and to give a lifestyle of ease to my family moreover I also have some plans to go for making,Till Today so I think it is once such goal to be financially uh stable and to uh give a lifestyle of each to my family more over i also have some plan to uh go for uh makings,0.28205128205128205,0.13218390804597702
104.19,119.01,"for opening some NGO, I think, because I have, I believe I have that corner to give back to society because I have went through a lot many such situations where I have been helped by a lot many people.",First opening some NGO I think uh because I have ahh I believe I have that corner to give back to society because I have ahh went through a lot Many ahh such situations where I have been help them and lot many people.,0.25,0.11981566820276497
119.4,132.93,"So that is one more goal. Moreover, I also have interest in traveling. So I also firstly traveling my own country is one priority and I have a lot of my options in my list.","So that is one more goal more over. I also there have interest travelling so I also, uh firstly uh travelling ca my own country is one uh priority and I have lot of my options in my to do list, I think.",0.4186046511627907,0.22277227722772278
133.02,147.66,"These are some of my future plans. Moreover, I believe future plans of any individual are time-based. Some of them are long-term goals and some of them are short-term goals. So, I would like to know what are your opinions on this.",These are some of my future plans more over. I visit future plan of any Mutual are uh time- based Some of them are long term goals and some of them are short- term goals. So I I would like to know what are your opinions on this?,0.3333333333333333,0.11842105263157894
183.42,195.3,Thank you.,blank,2.0,1.4
209.7,223.98,Yes. Yes.,ahh yes a yes.,0.75,0.42857142857142855
224.49,237.06,"Definitely, as today we know that most of the age mates, I would say, I think they are struggling with getting some",Definitely ahh as one as today we know that uh most of the umm most of the age mates I would say I think they are struggling with uh getting some,0.3870967741935484,0.2413793103448276
237.15,248.91,source of earning as soon as possible kind of financial stability and i think it is one of the short short-term uh plans every individual is having moreover uh similarly uh like um,Uh Source of earning as soon as possible kind of financial stability and I think it is one of the short uh short term plans every individual is having more over uh similarly uh like a.,0.19444444444444445,0.07065217391304347
249.99,257.19,right now I also have some short term plans for myself on which I am yes,"Right now uh i also have some short term plans for myself, uh on which I am yes.",0.2222222222222222,0.1
268.68,280.89,"Yes, yes, definitely. I also believe that to complete future plans,","Yes, yes definitely and I also believe uh the uh to complete future plans. Ahh",0.5333333333333333,0.21794871794871795
281.01,294.63,I think thinking about future plan is one such thing and one thing but the effort that is required to complete it is another thing and I think it depends on and it becomes stronger when the,I think thinking about future plan is one such thing and ahh one thing but uh the effort that is required to complete it is another thing and I think it depends on and and it becomes stronger when the,0.075,0.055
294.96,309.93,quite a cliche word that when the why of person is quite strong that the why the person wants to achieve it so I think one should keep on reminding themselves about the why that why they want to achieve those plans and,Quite a cliche word that when the wire of person is quite stronger that why the person wants to achieve it. So uh I think ahh one should keep on reminding themselves about uh the why that why they want to achieve those plans and.,0.17777777777777778,0.09170305676855896
309.96,320.46,"Moreover, I think smaller daily achievements will help everyone to move. Yes.",Moreover I think a smaller daily achievements uh will help ev-everyone to a move. Yes,0.4,0.1411764705882353
325.41,331.59,"Yes, yes. Thanks for completing. Yes. And...","Yes, yes thanks for completing yes and.",0.5714285714285714,0.1282051282051282
348.78,363.66,"Yes, same here. Same here as well. But as per the instructions, it was mentioned there we have to speak in language that we have chosen. So I am going by that only. I have texted someone. I am waiting for their response.","Yes, same here same here as well. Ahh But as per the instructions it was ahh mentioned their we have to speak in language that we have chosen. So i am going by that only i have texted someone i am waiting for uh their?",0.2,0.12385321100917432
363.72,373.35,"Yes, yes. Yes, yes.","Yes, yes yes yes.",0.5,0.11764705882352941
378.87,393.57,"I doubt if this kind of conversation will be doubted. I think it has to be stuck to the topic. Moreover, it is quite okay as we are discussing about that only. I want to mention one thing that it is quite difficult to get a conversation","Yes, I doubt if this uh this kind of conversation will be taughted. I think it has to be stick to the ahh topic moreover, It is quite uh okay as we are discussing over that only I want to mention one think that it is quite difficult to get the con",0.25,0.17813765182186234
393.57,407.97,I think it is difficult to connect to anyone so I think we have to complete one hour to get some payment and it is 8 minutes and 45 seconds or I doubt if it is happening with me only,"Call I think it is difficult to connect to anyone so I think we have to complete one hour uh to get some payment eight twenty- eight five seconds, or I doubt if it is happening with me only.",0.28205128205128205,0.1736842105263158
419.55,432.12,I am saying that as I have connected today only to this platform and I am also a new user. But we have been told we need to complete one hour.,I am single as I am I have connected today only to this platform and I am also a new user but umm we have been told we need to complete one hour.,0.18181818181818182,0.09655172413793103
445.2,459.21,7 to 20 minutes yes i agree but i am saying um the more number of shorter duration of calls we have to go for more number of calls to accept it and i think,"Seven to twenty minutes Yes, I agree. But I am saying ahh more number of sorter duration of calls we have to go for more number of calls to accepted and I think. Ahh",0.3235294117647059,0.16363636363636364
459.66,471.84,I am finding it difficult to connect to other people. I don't know. I think some issue... There is some issue on application because I think there are a lot many users that are using it at the same time. So...,"I am finding it difficult to connect to other people. I don't know. I think some issue, there is some issue on application because I think ahh they're lot many users that are using it at the same time so.",0.15,0.07352941176470588
487.2,501.48,Gracias.,"Yes, yes.",1.0,0.7777777777777778
502.8,517.2,"Yes, I already said you this only that I have also the same issue. But I think better is to stick to the task because even if it is in English, because the rule is...","Yes, uh I already said you this only that I have also the same issue but uh I think better is to stick to the task because uh even if it is in English because the rule is.",0.15789473684210525,0.07602339181286549
517.23,524.37,speak in English only so I am sticking to the instructions only that we have to speak in the language that has been selected by us on the application,To Speak in English Only so i am sticking to uh the Instructions only. That we have to speak in the language that has been uh selected by us on the application.,0.15625,0.06875
534.36,541.32,Okay. Okay. Okay. It was great talking. Yes. Have a nice day. Okay. Okay.,"Okay, okay okay it was great talking yes have a nice day. Okay.",0.46153846153846156,0.1746031746031746
